state,total_gov_hospitals,total_gov_beds,phc_beds,chc_beds,sub_divisional_hospital_beds,district_hospital_beds,medical_college_beds,total_beds_all_levels,total_doctors,doses_male,doses_female,total_vaccination_doses,total_sub_centres,total_phcs,total_chcs,total_sub_divisional_hospitals,total_district_hospitals,nabh_accredited_hospitals
Andaman and Nicobar Islands,30.0,1202.0,230,210.0,,220,700.0,1360,,155381,135329,290710,114.0,19.0,4.0,0.0,3.0,
Andhra Pradesh,6234.0,86721.0,8712,6400.0,5400.0,2600,12583.0,35695,105799.0,9546052,11464881,21010933,12522.0,1624.0,281.0,58.0,17.0,235.0
Arunachal Pradesh,218.0,2404.0,397,594.0,,1151,350.0,2492,1461.0,459689,372145,831834,0.0,0.0,0.0,0.0,14.0,
Assam,1239.0,28039.0,3166,6218.0,844.0,3677,9343.0,23248,25561.0,5537684,4792464,10330148,4604.0,938.0,108.0,13.0,24.0,25.0
Bihar,2132.0,29339.0,5596,8039.0,2459.0,4575,7251.0,27920,48192.0,12615368,10630449,23245817,9696.0,1863.0,70.0,40.0,36.0,20.0
Chandigarh,49.0,3758.0,23,120.0,100.0,527,3096.0,3866,,439141,341179,780320,17.0,0.0,2.0,0.0,1.0,29.0
Chhattisgarh,247.0,9610.0,5015,6726.0,629.0,3542,4458.0,20370,10020.0,5317102,5324096,10641198,5076.0,741.0,148.0,0.0,17.0,31.0
Dadra and Nagar Haveli and Daman and Diu,11.0,589.0,177,132.0,100.0,240,589.0,1238,,241951,103242,345193,76.0,9.0,3.0,0.0,3.0,
Delhi,107.0,27154.0,12,,431.0,9789,12060.0,22292,30817.0,5651974,4182789,9834763,41.0,8.0,0.0,49.0,0.0,484.0
Goa,43.0,3086.0,183,210.0,253.0,600,1342.0,2588,4035.0,691986,603414,1295400,175.0,19.0,5.0,0.0,2.0,7.0
Gujarat,2245.0,29402.0,9422,11167.0,4492.0,3257,17899.0,46237,72406.0,17552885,14644647,32197532,7274.0,1123.0,305.0,26.0,24.0,313.0
Haryana,678.0,12590.0,2183,3079.0,1581.0,3647,3660.0,14150,15687.0,6277681,5063362,11341043,2508.0,444.0,107.0,25.0,21.0,615.0
Himachal Pradesh,822.0,14782.0,1005,969.0,3665.0,1924,2632.0,10195,5038.0,2491862,2573996,5065858,2067.0,453.0,76.0,0.0,0.0,17.0
Jammu and Kashmir,1275.0,4418.0,3955,2769.0,,1862,5420.0,14006,17574.0,3511993,2507193,6019186,1907.0,397.0,83.0,0.0,22.0,19.0
Jharkhand,4463.0,14891.0,1229,3647.0,534.0,3215,2900.0,11525,7374.0,5053101,4145005,9198106,3958.0,330.0,188.0,10.0,21.0,26.0
Karnataka,2842.0,70474.0,15112,6500.0,14530.0,6174,13712.0,56028,134426.0,14942147,14636527,29578674,8870.0,2310.0,180.0,146.0,31.0,271.0
Kerala,1284.0,38097.0,5727,6371.0,8347.0,15113,7175.0,42733,72999.0,9121745,9877701,18999446,4575.0,809.0,224.0,43.0,0.0,219.0
Ladakh,,,320,190.0,,370,,880,,141962,110038,252000,,,,,,
Lakshadweep,12.0,250.0,40,90.0,70.0,50,,250,,35834,29494,65328,14.0,4.0,3.0,1.0,1.0,
Madhya Pradesh,465.0,31106.0,8640,10590.0,9721.0,16650,5850.0,51451,42596.0,16454296,13558645,30012941,8869.0,1156.0,333.0,56.0,50.0,178.0
Maharashtra,514.0,33028.0,18276,15004.0,7903.0,4108,16998.0,45291,188545.0,23154721,19529229,42683950,10580.0,1809.0,365.0,81.0,23.0,507.0
Manipur,119.0,1768.0,420,365.0,10.0,551,1449.0,2795,,689668,576963,1266631,420.0,80.0,16.0,1.0,7.0,2.0
Meghalaya,154.0,4467.0,1127,867.0,40.0,1960,594.0,4588,,552726,492970,1045696,405.0,109.0,29.0,0.0,10.0,2.0
Mizoram,99.0,2022.0,655,240.0,70.0,903,500.0,2368,156.0,412585,408489,821074,370.0,57.0,9.0,2.0,8.0,
Nagaland,177.0,2461.0,706,325.0,,1017,,2048,141.0,430338,323061,753399,396.0,126.0,21.0,0.0,11.0,1.0
Odisha,1806.0,18519.0,1501,6290.0,1946.0,7288,9291.0,26316,26924.0,8535458,7443423,15978881,6688.0,1228.0,377.0,26.0,32.0,40.0
Puducherry,44.0,4768.0,185,120.0,,1853,2794.0,4952,,342956,355711,698667,53.0,24.0,3.0,0.0,0.0,6.0
Punjab,816.0,21241.0,1688,3711.0,2509.0,3931,3160.0,14999,51689.0,4801748,3826003,8627751,2950.0,446.0,129.0,35.0,20.0,364.0
Rajasthan,2849.0,46778.0,13866,23820.0,2500.0,9474,17131.0,66791,48232.0,16527432,14744684,31272116,11487.0,1517.0,376.0,12.0,34.0,340.0
Sikkim,33.0,2260.0,257,28.0,,400,,685,1501.0,345254,288456,633710,146.0,24.0,2.0,0.0,4.0,
Tamil Nadu,2507.0,99435.0,10025,12582.0,21978.0,7695,29888.0,82168,148217.0,11318151,10625380,21943531,8706.0,1204.0,385.0,231.0,30.0,263.0
Telangana,677.0,5094.0,4662,3320.0,5400.0,2270,5960.0,21612,14999.0,7422127,6865658,14287785,,,,,,177.0
Tripura,155.0,4343.0,918,630.0,900.0,1260,727.0,4435,2681.0,1571124,1498937,3070061,632.0,79.0,11.0,11.0,2.0,1.0
Uttar Pradesh,4683.0,66700.0,13548,26157.0,,22812,14726.0,77243,89287.0,26322385,19933956,46256341,20521.0,3692.0,515.0,0.0,0.0,328.0
Uttarakhand,618.0,8106.0,2111,1699.0,2035.0,1511,1850.0,9206,10243.0,2905983,2739241,5645224,1765.0,239.0,55.0,20.0,18.0,40.0
West Bengal,1594.0,96012.0,7640,11205.0,13110.0,7599,25086.0,64640,78740.0,15507060,13064202,28571262,10356.0,909.0,348.0,0.0,0.0,90.0
