SI. No.,Name of State Medical Council,Total Number of Allopathic Doctors
1,Andhra Pradesh Medical Council,105799
2,Arunachal Pradesh Medical Council,1461
3,Assam Medical Council,25561
4,Bihar Medical Council,48192
5,Chattisgarh Medical Council,10020
6,Delhi Medical Council,30817
7,Goa Medical Council,4035
8,Gujarat Medical Council,72406
9,Haryana Medical Council,15687
10,Himachal Pradesh Medical Council,5038
11,Jammu and Kashmir Medical Council,17574
12,Jharkhand Medical Council,7374
13,Karnataka Medical Council,134426
14,Madhya Pradesh Medical Council,42596
15,Maharashtra Medical Council,188545
16,Erstwhile Medical Council of India,52669
17,Mizoram Medical Council,156
18,Nagaland Medical Council,141
19,Orissa Council of Medical Registration,26924
20,Punjab Medical Council,51689
21,Rajasthan Medical Council,48232
22,Sikkim Medical Council,1501
23,Tamil Nadu Medical Council,148217
24,Travancore Medical Council,72999
25,Uttar Pradesh Medical Council,89287
26,Uttaranchal Medical Council,10243
27,West Bengal Medical Council,78740
28,Tripura Medical Council,2681
29,Telangana Medical Council,14999
