DiagnosticCentreName,DiagnosticCentreAddress,CityName
"Prem Sukh Hospital And Dialysis Centre","17 Malviya Chowk Laksman Chowk Dehradun",Dehradun
"Umang Superspciality Hosp A Unit Of Health Planners Pvt Ltd.","Buildign No. 306 Opp. RAdha Swami Satsang Bhawan Pataudi Road Gurugram 122001
Nodal Officer 
Dr. Pawan Sharma
Mob 9990821994",DELHI/HQ/DIRECTORATE/MINISTRY
"C C Shroff Memorial Hospital","3-4-801, BARKATPURA ,Hyderabad,
PM JAY NODAL PERSON NAME: SREE PRASANNA,
CELL NO.7207978962 ,
Email id :medicaladmin@ccshroffhospital.com.",Hyderabad
"Dana Shivam Heart","Plot No. 02, Sector-02, Opp. Central Spine, Vidhyadhar Nagar, Jaipur-302023",Jaipur
"Pathkind Diagnostic Private Limited","Plot Number J C 18, Salt Lake City Kolkata - 700 098",Kolkata
"Shusrut Medical Care Society Hardikar Hospital","1160/61,University Road, Shivajinagar, Pune-411 005",Pune
"Rsd Samarpan Hospital","1056-Jainabad, Goyala Dewa Road Chinhat Lucknow, Uttar Pradesh.",Lucknow
"Dr.Agarwals Eye Hospital Mysuru",MYSURU,Bengaluru
"Kansal Dental Clinic & Orthodontic Centre             W.E.F. 30-07-2018","142/6, Nai Sarak Tiraha, Shastri Nagar, Meerut",Meerut
"Lifetron Hospital","O/PR-2, near KDMA World School, Awas Vikas Keshav Puram, Kalyanpur, Kanpur, Uttar Pradesh 208019
 Ph. 8601804561, 8601804562",Kanpur
"I Care Eye Hospital & Post Graduate Institute, Icare Research Centre","E3A, Sec26, Noida201301. Ph. 01202477600, 2555969.",DELHI/HQ/DIRECTORATE/MINISTRY
"Asg Eye Hospital Aurangabad","AG Prime House No.5-5-57,Kranti Chowk, Osmanpura, Railway Station Road, Aurangabad -431001",Pune
"Vasundhara Hospital Limited","Sector 11, Nandanvan, Jodhpur-324008, Rajasthan.",Jaipur
"Shanti Memorial Hospital","PATNAIK COLONY, THORIA SAHI, MANGALABAG CUTTACK",Bhubaneswar
"Clinical Diagnostic Centre","69, Hargovind Enclave, Opp. Railway Reservation Centre, Karkardooma, Delhi. Tel. No. 01143076300. ",DELHI/HQ/DIRECTORATE/MINISTRY
"The Healing Touch,","First Floor, Behind Mother Dairy, Chetak Complex, Pocket B & E, Market, Dilshad Garden, Delhi110095",DELHI/HQ/DIRECTORATE/MINISTRY
"Carewell Heart And Super Speciality Hospital","GT Road, Model Town, Amritsar-143001 Punjab Tel: 0183-2562734 Mob: 9872996069",Chandigarh
"Photon Hospital","Kanth Road, Moradabad- 244001",Meerut
"Ak Health Quotient India Pvt. Ltd.","E-117, Kalkaji Opp. Laxmi Narayan Temple New Delhi-110019, Nodal Officer: Lovekesh Chandra
Mob. No. 9810396794
Email Id. lchandra@healthquotientindia.com 
",DELHI/HQ/DIRECTORATE/MINISTRY
"Maxfort Multi Speciality Hospital","Indraprastha Enclave, Kishanpur Tiraha, Ramghat Road, Aligarh - 202001 ",Meerut
"Dentwin India Pvt Ltd","Nidhi Galaxy Apartment, Plot No. 03, Flat No. A-1, Shalimar Garden Ext-1, Sahibabad, Ghaziabad-201005. Nodal Officer: Preeti Sharma, Mob. 9599470869. Email- dentwinindia@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Urmila Memorial Hospital","Near New Bus Stand Circle, Nehar Road, Bhatagaon, Raipur-492015 (C.G.), Contact No. :- Contact No.- 0771-4088820 Email:- admin@umhraipur.com.",Nagpur
"Dr Agarwal Eye Hospital, Nellore","D No. 704, Muncipal Ward, NVR Central Raja Gopalapuram, G.T.Road, Dargamitta, Nellore - 524003 ",Hyderabad
"Vaishnavi Multispeciality Dental And Implant Clinic","609, First Floor, Sector5, Vaishali, Ghaziabad201010. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Evista Eye Care Centre","Opp Dhantoli Park, Nagpur.
0712-2459855, 2467415
drsanjay@evistaeyecare.in

",Nagpur
"Dr Dagurs Dental Hub","199/1, Mangal Pandey Nagar, Garh Road, Meerut (UP)",Meerut
"Allergy Asthama And Chest Hospital","K 32 income colony jaipur",Jaipur
"Hill View Hospital & Research Centre","Hill View Road,Bariatu, Ranchi-834009",Ranchi
"Lokmanya Hospital Senapati Bapat Marg","Vetal Baba Chowk,SB Road, Gokhle Nagar, Pune-411016",Pune
"Csi Rainy Multispeciality Hospital","45, G.A.ROAD, CHENNAI-21
044-40405050
044-25957668
",Chennai
